Epoch 1/330, Loss: 0.0558, Accuracy: 5.18%, Part-wise Accuracy: 37.04%, Batch Size: 64
Epoch 2/330, Loss: 0.0559, Accuracy: 5.18%, Part-wise Accuracy: 36.65%, Batch Size: 64
Epoch 3/330, Loss: 0.0559, Accuracy: 5.18%, Part-wise Accuracy: 37.20%, Batch Size: 64
Epoch 4/330, Loss: 0.0559, Accuracy: 5.18%, Part-wise Accuracy: 37.88%, Batch Size: 64
Epoch 5/330, Loss: 0.0559, Accuracy: 5.44%, Part-wise Accuracy: 38.59%, Batch Size: 64
Epoch 6/330, Loss: 0.0559, Accuracy: 5.96%, Part-wise Accuracy: 39.25%, Batch Size: 64
Epoch 7/330, Loss: 0.0559, Accuracy: 6.68%, Part-wise Accuracy: 39.85%, Batch Size: 64
Epoch 8/330, Loss: 0.0559, Accuracy: 7.60%, Part-wise Accuracy: 40.60%, Batch Size: 64
Epoch 9/330, Loss: 0.0559, Accuracy: 8.73%, Part-wise Accuracy: 41.38%, Batch Size: 64
Epoch 10/330, Loss: 0.0559, Accuracy: 9.99%, Part-wise Accuracy: 42.03%, Batch Size: 64
Epoch 11/330, Loss: 0.0559, Accuracy: 11.24%, Part-wise Accuracy: 42.67%, Batch Size: 64
Epoch 12/330, Loss: 0.0558, Accuracy: 12.49%, Part-wise Accuracy: 43.31%, Batch Size: 64
Epoch 13/330, Loss: 0.0558, Accuracy: 13.92%, Part-wise Accuracy: 43.89%, Batch Size: 64
Epoch 14/330, Loss: 0.0558, Accuracy: 15.47%, Part-wise Accuracy: 44.39%, Batch Size: 64
Epoch 15/330, Loss: 0.0558, Accuracy: 16.96%, Part-wise Accuracy: 44.88%, Batch Size: 64
Epoch 16/330, Loss: 0.0557, Accuracy: 18.24%, Part-wise Accuracy: 45.33%, Batch Size: 64
Epoch 17/330, Loss: 0.0557, Accuracy: 19.46%, Part-wise Accuracy: 45.71%, Batch Size: 64
Epoch 18/330, Loss: 0.0557, Accuracy: 20.71%, Part-wise Accuracy: 46.11%, Batch Size: 64
Epoch 19/330, Loss: 0.0556, Accuracy: 21.81%, Part-wise Accuracy: 46.50%, Batch Size: 64
Epoch 20/330, Loss: 0.0556, Accuracy: 22.89%, Part-wise Accuracy: 46.88%, Batch Size: 64
Epoch 21/330, Loss: 0.0556, Accuracy: 23.92%, Part-wise Accuracy: 47.19%, Batch Size: 64
Epoch 22/330, Loss: 0.0555, Accuracy: 24.83%, Part-wise Accuracy: 47.56%, Batch Size: 64
Epoch 23/330, Loss: 0.0555, Accuracy: 25.80%, Part-wise Accuracy: 47.89%, Batch Size: 64
Epoch 24/330, Loss: 0.0555, Accuracy: 26.57%, Part-wise Accuracy: 48.24%, Batch Size: 64
Epoch 25/330, Loss: 0.0554, Accuracy: 27.45%, Part-wise Accuracy: 48.52%, Batch Size: 64
Epoch 26/330, Loss: 0.0554, Accuracy: 28.20%, Part-wise Accuracy: 48.79%, Batch Size: 64
Epoch 27/330, Loss: 0.0554, Accuracy: 28.90%, Part-wise Accuracy: 49.14%, Batch Size: 64
Epoch 28/330, Loss: 0.0554, Accuracy: 29.59%, Part-wise Accuracy: 49.38%, Batch Size: 64
Epoch 29/330, Loss: 0.0553, Accuracy: 30.21%, Part-wise Accuracy: 49.62%, Batch Size: 64
Epoch 30/330, Loss: 0.0553, Accuracy: 30.81%, Part-wise Accuracy: 49.95%, Batch Size: 64
Epoch 31/330, Loss: 0.0553, Accuracy: 31.34%, Part-wise Accuracy: 50.21%, Batch Size: 128
Epoch 32/330, Loss: 0.0281, Accuracy: 38.07%, Part-wise Accuracy: 45.80%, Batch Size: 128
Epoch 33/330, Loss: 0.0281, Accuracy: 38.75%, Part-wise Accuracy: 46.48%, Batch Size: 128
Epoch 34/330, Loss: 0.0280, Accuracy: 39.41%, Part-wise Accuracy: 46.87%, Batch Size: 128
Epoch 35/330, Loss: 0.0280, Accuracy: 40.09%, Part-wise Accuracy: 47.16%, Batch Size: 128
Epoch 36/330, Loss: 0.0280, Accuracy: 40.71%, Part-wise Accuracy: 47.43%, Batch Size: 128
Epoch 37/330, Loss: 0.0280, Accuracy: 41.23%, Part-wise Accuracy: 47.71%, Batch Size: 128
Epoch 38/330, Loss: 0.0280, Accuracy: 41.78%, Part-wise Accuracy: 48.00%, Batch Size: 128
Epoch 39/330, Loss: 0.0280, Accuracy: 42.22%, Part-wise Accuracy: 48.24%, Batch Size: 128
Epoch 40/330, Loss: 0.0279, Accuracy: 42.71%, Part-wise Accuracy: 48.43%, Batch Size: 128
