Hidden Layer,Dataset,Accuracy,Recall,Precision,F1,Epochs
"[512]",Train,72.83,58.92,83.32,62.45,600
"[512]",Test,67.67,50.76,69.12,50.03,600
"[512,256]",Train,74.21,59.69,84.45,60.37,600
"[512,256]",Test,65.41,47.38,66.59,48.28,600
"[512,256,128]",Train,76.52,66.27,86.91,73.78,1000
"[512,256,128]",Test,71.14,60.68,84.42,72.05,1000
"[512,256,128,64]",Train,82.13,74.26,94.84,78.63,2000
"[512,256,128,64]",Test,78.25,70.69,88.43,76.21,2000
