Hidden Layer,Dataset,Accuracy,Recall,Precision,F1,Epochs
"[512]",Train,74.49,61.58,81.90,63.80,600
"[512]",Test,68.50,51.66,70.10,52.57,600
"[512,256]",Train,65.09,46.95,61.41,46.53,600
"[512,256]",Test,61.39,42.44,55.16,41.79,600
"[512,256,128]",Train,77.23,65.40,85.32,74.12,1000
"[512,256,128]",Test,72.85,60.33,79.65,68.67,1000
"[512,256,128,64]",Train,79.87,70.16,89.76,78.78,2000
"[512,256,128,64]",Test,73.94,63.41,80.52,70.96,2000
