Hidden Layer,Dataset,Accuracy,Recall,Precision,F1,Epochs
"[512]",Train,71.70,57.65,84.60,61.17,300
"[512]",Test,66.48,49.58,67.94,51.16,300
"[512,256]",Train,73.03,58.42,83.67,61.21,300
"[512,256]",Test,66.23,48.25,65.37,49.40,300
"[512,256,128]",Train,75.30,65.42,87.67,74.92,500
"[512,256,128]",Test,72.30,61.42,83.67,70.83,500
"[512,256,128,64]",Train,83.95,75.42,95.67,79.45,1000
"[512,256,128,64]",Test,79.07,71.42,89.67,75.05,1000
