Epoch 56/1000, Loss: 0.0538, Accuracy: 25.23%, Part-wise Accuracy: 59.15%, Batch Size: 64
Epoch 57/1000, Loss: 0.0538, Accuracy: 25.36%, Part-wise Accuracy: 59.18%, Batch Size: 64
Epoch 58/1000, Loss: 0.0538, Accuracy: 25.50%, Part-wise Accuracy: 59.20%, Batch Size: 64
Epoch 59/1000, Loss: 0.0538, Accuracy: 25.65%, Part-wise Accuracy: 59.28%, Batch Size: 64
Epoch 60/1000, Loss: 0.0538, Accuracy: 25.80%, Part-wise Accuracy: 59.31%, Batch Size: 64
Epoch 61/1000, Loss: 0.0538, Accuracy: 25.92%, Part-wise Accuracy: 59.36%, Batch Size: 64
Epoch 62/1000, Loss: 0.0538, Accuracy: 26.08%, Part-wise Accuracy: 59.38%, Batch Size: 64
Epoch 63/1000, Loss: 0.0538, Accuracy: 26.23%, Part-wise Accuracy: 59.42%, Batch Size: 64
Epoch 64/1000, Loss: 0.0537, Accuracy: 26.34%, Part-wise Accuracy: 59.47%, Batch Size: 64
Epoch 65/1000, Loss: 0.0537, Accuracy: 26.42%, Part-wise Accuracy: 59.50%, Batch Size: 64
Epoch 66/1000, Loss: 0.0537, Accuracy: 26.53%, Part-wise Accuracy: 59.55%, Batch Size: 64
Epoch 67/1000, Loss: 0.0537, Accuracy: 26.64%, Part-wise Accuracy: 59.59%, Batch Size: 64
Epoch 68/1000, Loss: 0.0537, Accuracy: 26.77%, Part-wise Accuracy: 59.62%, Batch Size: 64
Epoch 69/1000, Loss: 0.0537, Accuracy: 26.91%, Part-wise Accuracy: 59.66%, Batch Size: 64
Epoch 70/1000, Loss: 0.0537, Accuracy: 27.05%, Part-wise Accuracy: 59.69%, Batch Size: 64
Epoch 71/1000, Loss: 0.0537, Accuracy: 27.16%, Part-wise Accuracy: 59.76%, Batch Size: 64
Epoch 72/1000, Loss: 0.0537, Accuracy: 27.32%, Part-wise Accuracy: 59.78%, Batch Size: 64
Epoch 73/1000, Loss: 0.0537, Accuracy: 27.44%, Part-wise Accuracy: 59.82%, Batch Size: 64
Epoch 74/1000, Loss: 0.0537, Accuracy: 27.55%, Part-wise Accuracy: 59.85%, Batch Size: 64
Epoch 75/1000, Loss: 0.0537, Accuracy: 27.63%, Part-wise Accuracy: 59.90%, Batch Size: 64
Epoch 76/1000, Loss: 0.0537, Accuracy: 27.73%, Part-wise Accuracy: 59.94%, Batch Size: 64
Epoch 77/1000, Loss: 0.0537, Accuracy: 27.83%, Part-wise Accuracy: 59.97%, Batch Size: 64
Epoch 78/1000, Loss: 0.0537, Accuracy: 27.96%, Part-wise Accuracy: 60.00%, Batch Size: 64
Epoch 79/1000, Loss: 0.0537, Accuracy: 28.04%, Part-wise Accuracy: 60.02%, Batch Size: 64
Epoch 80/1000, Loss: 0.0537, Accuracy: 28.14%, Part-wise Accuracy: 60.06%, Batch Size: 64
Epoch 81/1000, Loss: 0.0537, Accuracy: 28.23%, Part-wise Accuracy: 60.10%, Batch Size: 64
Epoch 82/1000, Loss: 0.0537, Accuracy: 28.36%, Part-wise Accuracy: 60.13%, Batch Size: 64
Epoch 83/1000, Loss: 0.0537, Accuracy: 28.44%, Part-wise Accuracy: 60.16%, Batch Size: 64
Epoch 84/1000, Loss: 0.0537, Accuracy: 28.55%, Part-wise Accuracy: 60.17%, Batch Size: 64
Epoch 85/1000, Loss: 0.0537, Accuracy: 28.63%, Part-wise Accuracy: 60.21%, Batch Size: 64
Epoch 86/1000, Loss: 0.0537, Accuracy: 28.71%, Part-wise Accuracy: 60.25%, Batch Size: 64
Epoch 87/1000, Loss: 0.0537, Accuracy: 28.80%, Part-wise Accuracy: 60.27%, Batch Size: 64
Epoch 88/1000, Loss: 0.0537, Accuracy: 28.89%, Part-wise Accuracy: 60.30%, Batch Size: 64
Epoch 89/1000, Loss: 0.0537, Accuracy: 28.95%, Part-wise Accuracy: 60.31%, Batch Size: 64
Epoch 90/1000, Loss: 0.0537, Accuracy: 29.02%, Part-wise Accuracy: 60.33%, Batch Size: 64
Epoch 91/1000, Loss: 0.0537, Accuracy: 29.07%, Part-wise Accuracy: 60.36%, Batch Size: 64
Epoch 92/1000, Loss: 0.0537, Accuracy: 29.14%, Part-wise Accuracy: 60.39%, Batch Size: 64
Epoch 93/1000, Loss: 0.0537, Accuracy: 29.23%, Part-wise Accuracy: 60.41%, Batch Size: 64
Epoch 94/1000, Loss: 0.0537, Accuracy: 29.34%, Part-wise Accuracy: 60.45%, Batch Size: 64
Epoch 95/1000, Loss: 0.0537, Accuracy: 29.42%, Part-wise Accuracy: 60.47%, Batch Size: 64
Epoch 96/1000, Loss: 0.0537, Accuracy: 29.52%, Part-wise Accuracy: 60.50%, Batch Size: 64
Epoch 97/1000, Loss: 0.0537, Accuracy: 29.59%, Part-wise Accuracy: 60.52%, Batch Size: 64
Epoch 98/1000, Loss: 0.0537, Accuracy: 29.67%, Part-wise Accuracy: 60.55%, Batch Size: 64
Epoch 99/1000, Loss: 0.0537, Accuracy: 29.72%, Part-wise Accuracy: 60.57%, Batch Size: 64
Epoch 100/1000, Loss: 0.0537, Accuracy: 29.80%, Part-wise Accuracy: 60.60%, Batch Size: 64
Epoch 101/1000, Loss: 0.0537, Accuracy: 29.86%, Part-wise Accuracy: 60.63%, Batch Size: 64
Epoch 102/1000, Loss: 0.0537, Accuracy: 29.92%, Part-wise Accuracy: 60.68%, Batch Size: 64
Epoch 103/1000, Loss: 0.0537, Accuracy: 30.00%, Part-wise Accuracy: 60.68%, Batch Size: 64
Epoch 104/1000, Loss: 0.0537, Accuracy: 30.09%, Part-wise Accuracy: 60.70%, Batch Size: 64
Epoch 105/1000, Loss: 0.0537, Accuracy: 30.16%, Part-wise Accuracy: 60.71%, Batch Size: 64
Epoch 106/1000, Loss: 0.0537, Accuracy: 30.24%, Part-wise Accuracy: 60.73%, Batch Size: 64
Epoch 107/1000, Loss: 0.0537, Accuracy: 30.30%, Part-wise Accuracy: 60.76%, Batch Size: 64
Epoch 108/1000, Loss: 0.0537, Accuracy: 30.37%, Part-wise Accuracy: 60.78%, Batch Size: 64
Epoch 109/1000, Loss: 0.0537, Accuracy: 30.48%, Part-wise Accuracy: 60.80%, Batch Size: 64
Epoch 110/1000, Loss: 0.0537, Accuracy: 30.52%, Part-wise Accuracy: 60.83%, Batch Size: 64
Epoch 111/1000, Loss: 0.0537, Accuracy: 30.60%, Part-wise Accuracy: 60.86%, Batch Size: 64
Epoch 112/1000, Loss: 0.0537, Accuracy: 30.66%, Part-wise Accuracy: 60.87%, Batch Size: 64
Epoch 113/1000, Loss: 0.0537, Accuracy: 30.73%, Part-wise Accuracy: 60.90%, Batch Size: 64
Epoch 114/1000, Loss: 0.0537, Accuracy: 30.77%, Part-wise Accuracy: 60.95%, Batch Size: 64
Epoch 115/1000, Loss: 0.0537, Accuracy: 30.82%, Part-wise Accuracy: 60.98%, Batch Size: 64
Epoch 116/1000, Loss: 0.0537, Accuracy: 30.88%, Part-wise Accuracy: 61.01%, Batch Size: 64
Epoch 117/1000, Loss: 0.0537, Accuracy: 30.93%, Part-wise Accuracy: 61.02%, Batch Size: 64
Epoch 118/1000, Loss: 0.0537, Accuracy: 31.00%, Part-wise Accuracy: 61.04%, Batch Size: 64
Epoch 119/1000, Loss: 0.0537, Accuracy: 31.07%, Part-wise Accuracy: 61.06%, Batch Size: 64
Epoch 120/1000, Loss: 0.0537, Accuracy: 31.12%, Part-wise Accuracy: 61.08%, Batch Size: 64
Epoch 121/1000, Loss: 0.0537, Accuracy: 31.17%, Part-wise Accuracy: 61.10%, Batch Size: 64
Epoch 122/1000, Loss: 0.0537, Accuracy: 31.23%, Part-wise Accuracy: 61.11%, Batch Size: 64
Epoch 123/1000, Loss: 0.0537, Accuracy: 31.28%, Part-wise Accuracy: 61.12%, Batch Size: 64
Epoch 124/1000, Loss: 0.0537, Accuracy: 31.34%, Part-wise Accuracy: 61.16%, Batch Size: 64
Epoch 125/1000, Loss: 0.0537, Accuracy: 31.38%, Part-wise Accuracy: 61.17%, Batch Size: 64
Epoch 126/1000, Loss: 0.0537, Accuracy: 31.45%, Part-wise Accuracy: 61.17%, Batch Size: 64
Epoch 127/1000, Loss: 0.0537, Accuracy: 31.50%, Part-wise Accuracy: 61.19%, Batch Size: 64
Epoch 128/1000, Loss: 0.0536, Accuracy: 31.55%, Part-wise Accuracy: 61.23%, Batch Size: 64
Epoch 129/1000, Loss: 0.0536, Accuracy: 31.61%, Part-wise Accuracy: 61.23%, Batch Size: 64
Epoch 130/1000, Loss: 0.0536, Accuracy: 31.69%, Part-wise Accuracy: 61.26%, Batch Size: 64
Epoch 131/1000, Loss: 0.0536, Accuracy: 31.73%, Part-wise Accuracy: 61.27%, Batch Size: 64
Epoch 132/1000, Loss: 0.0536, Accuracy: 31.77%, Part-wise Accuracy: 61.29%, Batch Size: 64
Epoch 133/1000, Loss: 0.0536, Accuracy: 31.83%, Part-wise Accuracy: 61.31%, Batch Size: 64
Epoch 134/1000, Loss: 0.0536, Accuracy: 31.89%, Part-wise Accuracy: 61.33%, Batch Size: 64
Epoch 135/1000, Loss: 0.0536, Accuracy: 31.94%, Part-wise Accuracy: 61.34%, Batch Size: 64
Epoch 136/1000, Loss: 0.0536, Accuracy: 32.00%, Part-wise Accuracy: 61.36%, Batch Size: 64
Epoch 137/1000, Loss: 0.0536, Accuracy: 32.02%, Part-wise Accuracy: 61.37%, Batch Size: 64
Epoch 138/1000, Loss: 0.0536, Accuracy: 32.09%, Part-wise Accuracy: 61.38%, Batch Size: 64
Epoch 139/1000, Loss: 0.0536, Accuracy: 32.16%, Part-wise Accuracy: 61.39%, Batch Size: 64
Epoch 140/1000, Loss: 0.0536, Accuracy: 32.21%, Part-wise Accuracy: 61.40%, Batch Size: 64
Epoch 141/1000, Loss: 0.0536, Accuracy: 32.24%, Part-wise Accuracy: 61.42%, Batch Size: 64
Epoch 142/1000, Loss: 0.0536, Accuracy: 32.28%, Part-wise Accuracy: 61.43%, Batch Size: 64
Epoch 143/1000, Loss: 0.0536, Accuracy: 32.35%, Part-wise Accuracy: 61.46%, Batch Size: 64
Epoch 144/1000, Loss: 0.0536, Accuracy: 32.41%, Part-wise Accuracy: 61.47%, Batch Size: 64
Epoch 145/1000, Loss: 0.0536, Accuracy: 32.46%, Part-wise Accuracy: 61.48%, Batch Size: 64
Epoch 146/1000, Loss: 0.0536, Accuracy: 32.52%, Part-wise Accuracy: 61.49%, Batch Size: 64
Epoch 147/1000, Loss: 0.0536, Accuracy: 32.56%, Part-wise Accuracy: 61.52%, Batch Size: 64
Epoch 148/1000, Loss: 0.0536, Accuracy: 32.62%, Part-wise Accuracy: 61.54%, Batch Size: 64
Epoch 149/1000, Loss: 0.0536, Accuracy: 32.68%, Part-wise Accuracy: 61.55%, Batch Size: 64
Epoch 150/1000, Loss: 0.0536, Accuracy: 32.73%, Part-wise Accuracy: 61.56%, Batch Size: 64
Epoch 151/1000, Loss: 0.0536, Accuracy: 32.77%, Part-wise Accuracy: 61.58%, Batch Size: 64
Epoch 152/1000, Loss: 0.0536, Accuracy: 32.81%, Part-wise Accuracy: 61.61%, Batch Size: 64
Epoch 153/1000, Loss: 0.0536, Accuracy: 32.87%, Part-wise Accuracy: 61.63%, Batch Size: 64
Epoch 154/1000, Loss: 0.0536, Accuracy: 32.92%, Part-wise Accuracy: 61.65%, Batch Size: 64
Epoch 155/1000, Loss: 0.0536, Accuracy: 32.97%, Part-wise Accuracy: 61.66%, Batch Size: 64
Epoch 156/1000, Loss: 0.0536, Accuracy: 33.02%, Part-wise Accuracy: 61.67%, Batch Size: 64
Epoch 157/1000, Loss: 0.0536, Accuracy: 33.06%, Part-wise Accuracy: 61.69%, Batch Size: 64
Epoch 158/1000, Loss: 0.0536, Accuracy: 33.11%, Part-wise Accuracy: 61.69%, Batch Size: 64
Epoch 159/1000, Loss: 0.0536, Accuracy: 33.13%, Part-wise Accuracy: 61.70%, Batch Size: 64
Epoch 160/1000, Loss: 0.0536, Accuracy: 33.16%, Part-wise Accuracy: 61.72%, Batch Size: 64
Epoch 161/1000, Loss: 0.0536, Accuracy: 33.20%, Part-wise Accuracy: 61.72%, Batch Size: 64
Epoch 162/1000, Loss: 0.0536, Accuracy: 33.25%, Part-wise Accuracy: 61.73%, Batch Size: 64
Epoch 163/1000, Loss: 0.0536, Accuracy: 33.29%, Part-wise Accuracy: 61.76%, Batch Size: 64
Epoch 164/1000, Loss: 0.0536, Accuracy: 33.33%, Part-wise Accuracy: 61.76%, Batch Size: 64
Epoch 165/1000, Loss: 0.0536, Accuracy: 33.36%, Part-wise Accuracy: 61.78%, Batch Size: 64
Epoch 166/1000, Loss: 0.0536, Accuracy: 33.40%, Part-wise Accuracy: 61.81%, Batch Size: 64
Epoch 167/1000, Loss: 0.0536, Accuracy: 33.45%, Part-wise Accuracy: 61.83%, Batch Size: 64
Epoch 168/1000, Loss: 0.0536, Accuracy: 33.48%, Part-wise Accuracy: 61.86%, Batch Size: 64
Epoch 169/1000, Loss: 0.0536, Accuracy: 33.55%, Part-wise Accuracy: 61.87%, Batch Size: 64
Epoch 170/1000, Loss: 0.0536, Accuracy: 33.61%, Part-wise Accuracy: 61.90%, Batch Size: 64
Epoch 171/1000, Loss: 0.0536, Accuracy: 33.66%, Part-wise Accuracy: 61.91%, Batch Size: 64
Epoch 172/1000, Loss: 0.0536, Accuracy: 33.72%, Part-wise Accuracy: 61.93%, Batch Size: 64
Epoch 173/1000, Loss: 0.0536, Accuracy: 33.77%, Part-wise Accuracy: 61.96%, Batch Size: 64
Epoch 174/1000, Loss: 0.0536, Accuracy: 33.79%, Part-wise Accuracy: 61.97%, Batch Size: 64
Epoch 175/1000, Loss: 0.0536, Accuracy: 33.81%, Part-wise Accuracy: 61.97%, Batch Size: 64
Epoch 176/1000, Loss: 0.0536, Accuracy: 33.85%, Part-wise Accuracy: 61.99%, Batch Size: 64
Epoch 177/1000, Loss: 0.0536, Accuracy: 33.90%, Part-wise Accuracy: 62.01%, Batch Size: 64
Epoch 178/1000, Loss: 0.0536, Accuracy: 33.94%, Part-wise Accuracy: 62.02%, Batch Size: 64
Epoch 179/1000, Loss: 0.0536, Accuracy: 33.98%, Part-wise Accuracy: 62.03%, Batch Size: 64
Epoch 180/1000, Loss: 0.0536, Accuracy: 34.01%, Part-wise Accuracy: 62.05%, Batch Size: 64
Epoch 181/1000, Loss: 0.0536, Accuracy: 34.05%, Part-wise Accuracy: 62.07%, Batch Size: 64
Epoch 182/1000, Loss: 0.0536, Accuracy: 34.09%, Part-wise Accuracy: 62.08%, Batch Size: 64
Epoch 183/1000, Loss: 0.0536, Accuracy: 34.12%, Part-wise Accuracy: 62.10%, Batch Size: 64
Epoch 184/1000, Loss: 0.0536, Accuracy: 34.16%, Part-wise Accuracy: 62.13%, Batch Size: 64
Epoch 185/1000, Loss: 0.0536, Accuracy: 34.19%, Part-wise Accuracy: 62.16%, Batch Size: 64
Epoch 186/1000, Loss: 0.0536, Accuracy: 34.22%, Part-wise Accuracy: 62.17%, Batch Size: 64
Epoch 187/1000, Loss: 0.0536, Accuracy: 34.26%, Part-wise Accuracy: 62.19%, Batch Size: 64
Epoch 188/1000, Loss: 0.0536, Accuracy: 34.28%, Part-wise Accuracy: 62.20%, Batch Size: 64
Epoch 189/1000, Loss: 0.0536, Accuracy: 34.32%, Part-wise Accuracy: 62.26%, Batch Size: 64
Epoch 190/1000, Loss: 0.0536, Accuracy: 34.36%, Part-wise Accuracy: 62.26%, Batch Size: 64
Epoch 191/1000, Loss: 0.0536, Accuracy: 34.41%, Part-wise Accuracy: 62.27%, Batch Size: 64
Epoch 192/1000, Loss: 0.0536, Accuracy: 34.44%, Part-wise Accuracy: 62.29%, Batch Size: 64
Epoch 193/1000, Loss: 0.0536, Accuracy: 34.47%, Part-wise Accuracy: 62.30%, Batch Size: 64
Epoch 194/1000, Loss: 0.0536, Accuracy: 34.50%, Part-wise Accuracy: 62.32%, Batch Size: 64
Epoch 195/1000, Loss: 0.0536, Accuracy: 34.55%, Part-wise Accuracy: 62.33%, Batch Size: 64
Epoch 196/1000, Loss: 0.0536, Accuracy: 34.61%, Part-wise Accuracy: 62.33%, Batch Size: 64
Epoch 197/1000, Loss: 0.0536, Accuracy: 34.61%, Part-wise Accuracy: 62.33%, Batch Size: 64
Epoch 198/1000, Loss: 0.0536, Accuracy: 34.64%, Part-wise Accuracy: 62.34%, Batch Size: 64
Epoch 199/1000, Loss: 0.0536, Accuracy: 34.65%, Part-wise Accuracy: 62.34%, Batch Size: 64
Epoch 200/1000, Loss: 0.0536, Accuracy: 34.69%, Part-wise Accuracy: 62.35%, Batch Size: 64
Epoch 201/1000, Loss: 0.0536, Accuracy: 34.76%, Part-wise Accuracy: 62.35%, Batch Size: 128
Epoch 202/1000, Loss: 0.0275, Accuracy: 38.92%, Part-wise Accuracy: 55.25%, Batch Size: 128
Epoch 203/1000, Loss: 0.0275, Accuracy: 40.15%, Part-wise Accuracy: 55.47%, Batch Size: 128
Epoch 204/1000, Loss: 0.0275, Accuracy: 41.11%, Part-wise Accuracy: 55.53%, Batch Size: 128
Epoch 205/1000, Loss: 0.0275, Accuracy: 41.75%, Part-wise Accuracy: 55.59%, Batch Size: 128
Epoch 206/1000, Loss: 0.0275, Accuracy: 42.38%, Part-wise Accuracy: 55.63%, Batch Size: 128
Epoch 207/1000, Loss: 0.0275, Accuracy: 42.85%, Part-wise Accuracy: 55.75%, Batch Size: 128
Epoch 208/1000, Loss: 0.0274, Accuracy: 43.30%, Part-wise Accuracy: 55.80%, Batch Size: 128
Epoch 209/1000, Loss: 0.0274, Accuracy: 43.67%, Part-wise Accuracy: 55.83%, Batch Size: 128
Epoch 210/1000, Loss: 0.0274, Accuracy: 43.98%, Part-wise Accuracy: 55.84%, Batch Size: 128
Epoch 211/1000, Loss: 0.0274, Accuracy: 44.23%, Part-wise Accuracy: 55.92%, Batch Size: 128
Epoch 212/1000, Loss: 0.0274, Accuracy: 44.45%, Part-wise Accuracy: 55.95%, Batch Size: 128
Epoch 213/1000, Loss: 0.0274, Accuracy: 44.65%, Part-wise Accuracy: 55.97%, Batch Size: 128
Epoch 214/1000, Loss: 0.0274, Accuracy: 44.81%, Part-wise Accuracy: 56.02%, Batch Size: 128
