Hidden Layer,Dataset,Accuracy,Recall,Precision,F1,Epochs
"[512]",Train,64.98,46.61,62.36,47.61,200
"[512]",Test,60.26,41.09,53.66,41.49,200
"[512,256]",Train,65.90,48.71,53.72,50.53,200
"[512,256]",Test,60.22,42.03,53.81,42.88,200
"[512,256,128]",Train,63.10,47.23,60.18,48.55,200
"[512,256,128]",Test,58.50,40.62,50.94,40.90,200
"[512,256,128,64]",Train,53.93,33.17,42.95,30.79,200
"[512,256,128,64]",Test,50.18,30.14,31.12,27.90,200
